epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1089.58,0.97052,1.86063,1.13464,0.81267,0.70077,0.76637,0.58146,1.06583,1.75216,1.3578,0.000413386,0.000413386,0.000413386
2,2109.7,0.8694,0.98543,1.064,0.69055,0.71519,0.67958,0.48121,1.26364,1.43895,1.59094,0.000821835,0.000821835,0.000821835
3,3106.38,0.87182,0.87968,1.06115,0.60733,0.60673,0.59159,0.38151,1.46521,1.75032,1.72868,0.00122203,0.00122203,0.00122203
4,4105.69,0.87418,0.78516,1.0706,0.73334,0.68085,0.64288,0.43907,1.39001,1.26184,1.71667,0.00121287,0.00121287,0.00121287
5,5118.03,0.81504,0.66241,1.03677,0.77761,0.76368,0.71286,0.52451,1.20817,0.9823,1.60557,0.0012005,0.0012005,0.0012005
6,6114.37,0.7982,0.61186,1.02444,0.76279,0.75935,0.69199,0.52399,1.24961,0.97988,1.67604,0.00118812,0.00118812,0.00118812
7,7100.35,0.79275,0.57789,1.02187,0.76873,0.74772,0.68922,0.5194,1.22178,0.93239,1.6207,0.00117575,0.00117575,0.00117575
8,8086.83,0.76433,0.53224,1.00396,0.74911,0.729,0.66646,0.50287,1.19818,0.95694,1.57742,0.00116337,0.00116337,0.00116337
9,9082.27,0.76764,0.54039,1.017,0.77188,0.77976,0.68033,0.50947,1.18054,0.83161,1.62415,0.001151,0.001151,0.001151
10,10050.8,0.76135,0.50897,1.00862,0.77202,0.75165,0.69237,0.53669,1.19953,0.9058,1.65967,0.00113863,0.00113863,0.00113863
11,11033.4,0.73395,0.4794,0.99307,0.78194,0.77941,0.70144,0.53612,1.1828,0.82294,1.72628,0.00112625,0.00112625,0.00112625
12,12058,0.74911,0.4844,1.00036,0.77995,0.77876,0.70723,0.53585,1.22637,0.81169,1.7266,0.00111388,0.00111388,0.00111388
